,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,CO21,CO22,CO23,CO24,CO25,CO26,CO27,CO28,CO29,CO30
x-100,0.5068996808161895,6.101182690590869,18.724399526194023,32.84810691916826,41.499395913465236,41.41602168561433,34.28706101741872,24.542023484267112,15.376935259934566,8.261636296396475,3.6593961647499933,1.32441032405384,0.3901951381732231,0.08916659902520511,0.01485484409375655,0.002134393341193866,0.0002896415801080608,3.586407955011529e-05,4.208916835281669e-06,4.6657514349140844e-07,7.036924462455146e-08,2.957542276832592e-08,2.2575355054996935e-08,1.8946517801912888e-08,1.6023473253113197e-08,1.3529842527708293e-08,1.1427813758358398e-08,9.60668684675328e-09,8.064903465021527e-09,6.7634293044934364e-09
x-075,0.3453325932145307,4.66012907792847,15.376461770327735,29.139876714946155,40.29958933335299,44.67809368139199,41.6032463636424,33.49477140854218,23.894390570317846,15.086675565430786,8.280753462926516,3.945017167773711,1.6125857803763606,0.5546140315390184,0.15437813320837426,0.03470348585189502,0.006179578810030637,0.0010341258208050631,0.00017133539808131569,2.6150272087325447e-05,3.7680619831600014e-06,5.92604899591238e-07,1.6446456917819523e-07,1.0093023488637716e-07,8.279936366934029e-08,7.107246117681706e-08,6.14369693377638e-08,5.292551660888664e-08,4.5574795436759874e-08,3.922601838126797e-08
x-050,0.220152638082637,3.2413611858851743,11.510689403156803,23.41467157137587,35.176873652886364,43.22730158056867,45.18418991956705,41.199672935886284,33.60203377597205,24.445004114997147,15.93692279358058,9.325360878142076,4.91459280472655,2.2662111339985147,0.9183791949029779,0.3265586055330085,0.09628760278147376,0.0230502943295655,0.004664785886078424,0.000933217194042231,0.00018050172486472097,3.343554265323389e-05,5.833539841217521e-06,1.0476557265532093e-06,2.4689060742042707e-07,1.1241929001338065e-07,8.48899499887498e-08,7.335425245704591e-08,6.488657140178646e-08,5.756445694537085e-08
x-025,0.13674293162135323,2.139000891466936,8.163122439097409,17.78112954722812,28.648115417956333,38.12253846475451,44.33461211898823,46.199404045693974,43.21000821007338,36.1750768362567,27.48059220646181,19.08127430866934,12.161193889865839,7.002368580459427,3.7131389755571114,1.8372707282971115,0.8043545864445003,0.2998229502440994,0.09621744995233236,0.0255596444645423,0.005718352733256855,0.001325113899231278,0.00030586661523440765,6.840891848219613e-05,1.456983192389671e-05,2.8944896259897215e-06,5.506849682648935e-07,1.1140142102983957e-07,3.28356571144825e-08,1.8260870926172588e-08
x000,0.08954265373591914,1.4240855084802633,5.7680515021083645,13.419809292849848,23.211574903545436,33.52641866440023,42.649741941220334,48.72917526891952,50.78552633738935,48.36153552602445,42.194607738624136,33.84268516312726,25.135162467170826,17.224772088339424,11.03671215556106,6.745984056027245,3.888771166668907,2.065130312717085,0.9762414761682902,0.4035387557022456,0.1453896567013903,0.044892382512340435,0.011804764847776959,0.0032292704987714822,0.0009043136864255571,0.0002412705131810103,6.171110573197394e-05,1.5148972387742737e-05,3.6071318893844133e-06,8.472211610897207e-07
x025,0.06134231892023849,0.9916301802333252,4.1995387460052775,10.352968591056882,19.055203485079367,29.279368570575564,39.73373498159631,49.01803480584655,55.77088781578699,58.30421890710529,56.47052693997069,51.03125384103338,43.01118280454361,33.67495321242446,24.797988397809856,17.489172178595215,11.873589343685754,7.71259001127503,4.800790995805681,2.748160065723953,1.3930417717943915,0.6348520457575124,0.26321855188372817,0.09639973470011362,0.02976857883843044,0.009171583021627704,0.0029600370813056714,0.0009403135950091317,0.0002961501652799567,9.158594241208018e-05
x050,0.042269362373096676,0.7155889026144153,3.1482515431981946,8.13342885788913,15.745988932971548,25.480690625523174,36.431194256829784,47.284412412587415,56.52062250052773,62.83416556614366,66.12118990580234,65.89241968064654,61.525045149942905,53.632146874479616,44.13973706101858,34.81485067180374,26.472249076556324,19.49046146634781,13.979490005205369,9.734062422845545,6.449247921740154,3.943021859766421,2.1765070886172,1.1069508511961759,0.52133267385071,0.22047802746144654,0.07974982397325896,0.027499045496855258,0.010132825948086741,0.003831296947207477
x075,0.027778098875656587,0.49263742854203485,2.251390161565998,6.065318380346051,12.264311989085376,20.70431047036723,30.856240340079374,41.96160271952199,53.21740782716745,63.60134663001117,72.12586524827898,77.20325570848077,77.66851627547537,73.84363190854135,67.13238741389684,58.876637881192686,49.63580563708369,40.51989270519346,32.17590516893491,24.82597477341329,18.752377144246736,13.790118750651434,9.671601347604643,6.316586022667126,3.784866166124118,2.1043583715316116,1.1042619880489721,0.5357168737441774,0.2293571591146288,0.09087875409571368
x100,0.01645211910080492,0.3287489293751721,1.6091150210066747,4.5424857851839,9.592712500257424,16.879125055539404,26.18834775887226,37.03471511781911,48.715702313304654,60.18125768528236,70.6320855438943,79.26527597948267,85.62008272947794,89.73281550606019,91.29162809153738,90.13010162465523,85.52956560985218,78.5409868059903,70.2356506242827,61.47615676409781,52.52042395519891,43.72798062022952,35.758175598005046,28.570007854933493,21.927723938422176,15.922216123301554,10.829446104318963,6.857586858052289,4.107817175773773,2.301505030822287
x125,0.007934542876555121,0.18117024066495008,0.9537775710973346,2.8397385298322724,6.29091668502295,11.583950715288392,18.774084462249856,27.734000964234543,38.20709110290073,49.845697364063746,62.40833269160318,75.44708085926337,88.11783355032209,99.35479229869375,108.12669338564912,114.83698877826842,118.72253145688934,120.71482308482422,121.06847358052518,120.15963512232734,117.42693647539117,111.7597106037956,103.54700794181454,93.59010327029213,82.90973901618618,71.83377516828267,60.561001352458646,49.341860060249545,38.41023125939876,28.384383418762848
x150,0.002868674337568276,0.07414340643563072,0.4343324122246394,1.3995689400328395,3.3021565191463176,6.410847450458309,10.916256218771506,16.8515089437159,24.156832805091632,32.69151707932517,42.31881995518023,52.82366688994119,63.89278170082043,74.81865061641231,85.60066538416166,96.64791731569669,107.1585880406416,116.86616678474908,124.85411760965984,130.6827145436298,133.8290947074608,133.62523067012827,130.5925792362189,125.222260609854,118.3127089425463,110.15252501184445,100.89760780973124,90.46819567779896,78.92289520350755,66.62735332837036
x175,0.0009769605074007892,0.02627142103931808,0.16257921231661315,0.5523367137937107,1.36275989996525,2.757604442063204,4.886399157449262,7.854596228081381,11.721269710383682,16.473217812788047,22.09099348757711,28.512499930347893,35.55149368440489,42.91611852849282,50.483717132433284,58.2938125882591,65.9511532536511,73.4085619280474,80.45740155149538,87.01096611698388,92.93561645228401,97.9013133937045,101.8335792098338,104.2762654264692,105.20975550042253,104.08738046722533,100.9775742002843,95.95985725299774,89.35978519085695,81.1413997486845
x200,0.0004492560509744111,0.012419057680478223,0.07937487056784732,0.27764147143667955,0.70185892443475,1.4468024580981815,2.604640856649077,4.247276418641676,6.442629758900127,9.217027712924438,12.599264428236939,16.569649050045136,21.08654857440525,26.064984295593895,31.421221894335122,37.12441563246848,43.00054560755954,48.99461696126374,54.91471765335321,60.624762082318355,65.92513177237895,70.67871948994805,74.77243965143926,77.92537172253856,80.20232025469835,81.31581348001201,81.21595344673673,79.833979612838,77.18856397083225,73.00757119802684
x225,0.00017273645290474614,0.0049510581151459366,0.033390341471649765,0.12348914591935041,0.32868469881501855,0.7097141828750225,1.327204815049508,2.2332181807245783,3.470874861770745,5.0705159036866,7.048031930681054,9.401435179923615,12.101926342842404,15.14364537077284,18.465136264044503,22.013667752638046,25.719850569060466,29.516871221184918,33.31783248612533,36.99556485516287,40.35151773536322,43.35303133450775,45.89546665804815,47.800248790316154,48.965977814945084,49.2347957134147,48.611791121535255,47.03732982147692,44.667433459659165,41.44817582622372
x250,3.8184809153209136e-05,0.00105484618506835,0.006856328872004556,0.024729641219759107,0.06521516986219827,0.1416312937266731,0.26918259762367014,0.4630435464118302,0.7366130939844237,1.1002243754682053,1.5595373436353512,2.114206875169844,2.757367184335428,3.486962824276762,4.285665503982326,5.137065834303968,6.024691767490659,6.928384429441241,7.831111230911628,8.71027816539836,9.516845393267209,10.255189149298136,10.919344812800773,11.49210642733422,11.971612973495347,12.344807237982094,12.630744350159697,12.823030122784685,12.952620001300009,12.97172810971927
x275,1.657017764042498e-05,0.0004693343535261337,0.0031316936281325833,0.011463655562549765,0.03038066713883602,0.06594954399228733,0.12510628830583684,0.21508145618292973,0.34287589521405154,0.5145266479915294,0.7341594016439073,1.0030213904271807,1.3189646306497718,1.6818589108323612,2.0846331679715187,2.521184938962314,2.9857644493145443,3.471764300645252,3.9735541638711864,4.485639765594796,4.983097728737418,5.4701135726210035,5.943581867108935,6.393152530457766,6.816073190888767,7.197512395881476,7.541188305058594,7.836603042627592,8.09570529137492,8.284233565256322
x300,4.615294555422935e-06,0.00013626579199311166,0.0009784504484919526,0.003869942898656799,0.011001085296086895,0.025337064403417896,0.050452628651922446,0.09024489254539511,0.14873146889665834,0.22977604450950437,0.33674063447663743,0.4718631192590957,0.6356078326493185,0.8287317207693902,1.0484490736705137,1.2915950753555612,1.5546682281343203,1.8334477293114806,2.1235673503664256,2.421666631065861,2.7108404904691388,2.991417925801907,3.2599214361399684,3.508393872341976,3.7350229556309316,3.928902851589181,4.091587885858982,4.21640620335343,4.308881874901929,4.351018924274192
x325,4.1502516823536724e-07,1.1998401774865789e-05,8.781119529126221e-05,0.00036066912871156965,0.001076519981295742,0.002620062080176034,0.005533539731796624,0.010507000919592575,0.018368097893542948,0.030031348655293492,0.04646621988363869,0.06853430079905327,0.09693786918964033,0.13209606136581725,0.17392094667417324,0.2219821845043195,0.27538993248140214,0.3329970031131857,0.3933035202085307,0.4549599502961306,0.5139115894257703,0.5686916665864716,0.617826730591754,0.6589298414004159,0.6914966981115578,0.713582073961086,0.7256942991030372,0.7274450274707167,0.719823569652341,0.7021910549996048
x350,1.316625764738072e-07,3.7189880261311235e-06,2.7007745371697355e-05,0.00011059780387782437,0.00032975999769285276,0.0008026323256497683,0.0016969061033379174,0.0032291361689627753,0.005664441371959403,0.00930630168021174,0.014494208606951383,0.021560569807801674,0.03083920258929243,0.04259249821058722,0.05698428124777992,0.07409032604470549,0.09383592698618719,0.11604738928070425,0.14043326246648666,0.16655442480770918,0.1933072581392835,0.2199152052806155,0.24565469512884547,0.26934130762756864,0.2903736573143833,0.30773985497425116,0.32130981343088494,0.33046553501616105,0.3351093396879617,0.33493478141303196
x375,3.252640364721904e-08,9.078990095565733e-07,6.518626294705702e-06,2.6478324614408727e-05,7.847730953725301e-05,0.0001901568072878655,0.0004006788688755734,0.0007607420857752625,0.0013326823505484993,0.002188986491810148,0.0034120286588899774,0.005085670408754218,0.007299523068580773,0.010131500911457163,0.013644771293576554,0.0178907920427555,0.022891033664737902,0.02864962796774966,0.03515654839774693,0.04234161357752782,0.05004563709190383,0.05809150527076739,0.06633933524152376,0.07449125243664641,0.08236351565652994,0.08966486473085397,0.09632325724530644,0.10204636039792242,0.10668516835965286,0.11006433085121965
x400,4.7695702216483566e-09,1.3304644510650435e-07,9.541817500577973e-07,3.872344487899442e-06,1.146588181170076e-05,2.775884060806887e-05,5.846291415880192e-05,0.00011097220562708119,0.00019441449387943308,0.0003194632229238713,0.0004983311836545344,0.0007436721811024963,0.0010692781303438725,0.001487577642856339,0.0020094534500857894,0.0026445734860967188,0.0033988556610159977,0.004276591789153762,0.005281076477300958,0.006405577363729096,0.007635695433597712,0.008949051632292575,0.010333366737653976,0.011749816077190325,0.01317606567534071,0.014572520896906969,0.015936094321451953,0.01721868272013914,0.01839495271083461,0.019435014368493653
