,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,CO21,CO22,CO23,CO24,CO25,CO26,CO27,CO28,CO29,CO30
g000,0.2986061810495414,1.6405882948394352,2.03578830731458,0.9599685992831025,0.1556119353052548,0.020243236909290703,0.006554329184097255,0.003470947082703292,0.0021172254894671083,0.0011542260886236158,0.0006137243736909769,0.0003265118192941391,0.0001730152594918548,8.916481029377459e-05,4.482115639073855e-05,2.2274989140712714e-05,1.085435175262123e-05,5.201878491678426e-06,2.453062767869619e-06,1.1349965558901097e-06,5.130961281849398e-07,2.2809930078203028e-07,1.0096396945654295e-07,4.4736531696457765e-08,2.0010382675473228e-08,9.414573099946718e-09,4.837215344559658e-09,2.8107807492070547e-09,1.863864832479487e-09,1.3711368120253711e-09
g025,0.23809571349054073,1.3452530905329831,1.7302721249881714,0.854037280118036,0.1535294645968483,0.02497017892756464,0.008076408090589206,0.003653781172415182,0.0020173975003991585,0.0010873448839491089,0.0005905351587498038,0.00032308304375599454,0.00017603616375513176,9.333739231647238e-05,4.831018074237892e-05,2.4769917011860773e-05,1.2505485701919217e-05,6.25058958199771e-06,3.100936628601058e-06,1.526508393681513e-06,7.465079007402389e-07,3.6630244793393956e-07,1.8336160004128738e-07,9.474822201265958e-08,5.128266740465394e-08,2.9887370655384246e-08,1.8999804918772954e-08,1.3177071188566662e-08,9.853388445492132e-09,7.777465490631708e-09
g050,0.19055346682056937,1.1056577616773984,1.4688769590391382,0.7562621794878684,0.1486740150293734,0.029008475278319668,0.010280712019317914,0.004348417678760139,0.0020448777474836566,0.0010144993039768976,0.0005419484753036639,0.0002998144733120009,0.00016659216187849663,9.03825434756655e-05,4.797161637208758e-05,2.530318954067722e-05,1.3222485455064007e-05,6.90894925753216e-06,3.6361959674255492e-06,1.939467301968736e-06,1.0572947467550113e-06,5.973945219856465e-07,3.549423708045619e-07,2.2228622437202749e-07,1.4645659676108654e-07,1.0139512445786949e-07,7.318027839975834e-08,5.464990559332642e-08,4.1991711816829804e-08,3.3006801121775344e-08
g075,0.15280811705163377,0.9078543557843424,1.2385970550212255,0.6665161509736485,0.14172617693311987,0.03171538737418472,0.01214279548461686,0.0049648702760620965,0.0020522394629427553,0.0009321667046295434,0.0004873645203706293,0.00027278761516052617,0.00015510639894203068,8.647977605469926e-05,4.727860259167312e-05,2.576067002337443e-05,1.3987631174921807e-05,7.665941873892973e-06,4.288086538117891e-06,2.471674542644294e-06,1.480860212832685e-06,9.306916747282716e-07,6.166913910562804e-07,4.276675940461536e-07,3.077673330583279e-07,2.2830064640242706e-07,1.733196143506233e-07,1.3394467163504971e-07,1.0509933895641642e-07,8.349645863972165e-08
g100,0.12066623397491537,0.7337673582993145,1.0382121304472924,0.5830438306433166,0.13167996278271638,0.0314600899761265,0.012721629814186964,0.005431390464976773,0.0021193030817934747,0.0008698239611905841,0.0004268766621174304,0.00023535674907543857,0.0001353525863675557,7.721286631242954e-05,4.345497688819591e-05,2.4508524737840097e-05,1.3890816012737691e-05,8.044257350228406e-06,4.8331427313466055e-06,3.049662981824936e-06,2.0322569475851153e-06,1.4334198842234183e-06,1.0658482584154273e-06,8.235593199563207e-07,6.537331002110252e-07,5.277300873885431e-07,4.307576896408553e-07,3.5378541860554697e-07,2.9185246486198356e-07,2.410336960849042e-07
g125,0.09735032243562172,0.6028023092374889,0.8790142222976717,0.5090035272314511,0.12059527150362702,0.028997424650764193,0.011491429272728594,0.004892976464609296,0.0018729288843764862,0.0007383560348300235,0.0003504539303428928,0.00019147157896257682,0.00011125644822393143,6.482349489985226e-05,3.752059749555171e-05,2.1898347482244787e-05,1.2955823603009642e-05,7.921587458332059e-06,5.0910702498656e-06,3.4771966534108753e-06,2.5226501525222373e-06,1.9346093426145324e-06,1.5535459963729973e-06,1.2852441541095655e-06,1.0839309722054834e-06,9.229064654624395e-07,7.903258568972665e-07,6.780160394919768e-07,5.820396686746504e-07,4.98349524627463e-07
g150,0.08053149407560399,0.5048909278532753,0.7469143705479624,0.4445113517921925,0.1099919138107567,0.026280604053546448,0.010209362443205593,0.004367921091142788,0.0016331173642175041,0.0006076853991013407,0.00027189117811137544,0.00014492409762586613,8.46306039555408e-05,5.035680453460797e-05,3.002745559085183e-05,1.814836177522312e-05,1.1182257884579672e-05,7.161511783765966e-06,4.8433534060562996e-06,3.4879868631429307e-06,2.663079838573568e-06,2.138589669347343e-06,1.7873451625784021e-06,1.5304647608090495e-06,1.3302130147717414e-06,1.1632933743451187e-06,1.0206628838246837e-06,8.953516326334244e-07,7.844719879430101e-07,6.84429995966216e-07
g175,0.06555261603014252,0.417196510360633,0.627204023371892,0.3883477682938811,0.10001535072739944,0.02323127342658371,0.008384535705117754,0.003319597832807485,0.0011993945091926558,0.000435158546927977,0.00018849061474723167,9.823900397803915e-05,5.705849166215405e-05,3.425067194456987e-05,2.0826668371308196e-05,1.294313076260472e-05,8.268393979257248e-06,5.530446312631669e-06,3.923708744044789e-06,2.964903811070318e-06,2.363956762111366e-06,1.9681000470501652e-06,1.6926702074252486e-06,1.482533132177143e-06,1.3123406129194418e-06,1.1651550868995193e-06,1.0357045647813285e-06,9.190496047199793e-07,8.134854882307025e-07,7.163679079098056e-07
g200,0.052420564361413964,0.3386845538757992,0.5239015197200043,0.33953818191508317,0.09104205462546962,0.02065698743105615,0.006992285995461116,0.0026053851496917564,0.0009218308233540125,0.000318810051287736,0.00012665561988224353,6.058312024015359e-05,3.3168159883352846e-05,1.9347754694314098e-05,1.1763767370737594e-05,7.492846852309801e-06,5.011737895539666e-06,3.56667649174261e-06,2.71163738444453e-06,2.190218449902884e-06,1.8465725435562464e-06,1.6049153355155516e-06,1.4245085862973589e-06,1.276557739080155e-06,1.149495713077911e-06,1.0341244380326096e-06,9.290987207891984e-07,8.319063281078272e-07,7.421184959683658e-07,6.580716246941798e-07
g225,0.04251977374835066,0.2778864622150344,0.4423481071703106,0.297466578568949,0.08299206830577366,0.01845793326485333,0.005955853425018156,0.002147418493464465,0.0007563446315489307,0.0002472740669519271,8.635358298202678e-05,3.5034058492741484e-05,1.6586720879214676e-05,8.850295547707039e-06,5.29843696130179e-06,3.541612489928958e-06,2.5858876024815346e-06,2.0392470180112393e-06,1.7080446587226396e-06,1.4938119732682574e-06,1.33514304470634e-06,1.2085619904289577e-06,1.1026809972547973e-06,1.007038134993883e-06,9.190918788971915e-07,8.351816008249905e-07,7.563074239682512e-07,6.816330432020647e-07,6.114923261457808e-07,5.449327697206509e-07
