,r,V_r,M_r,N_e23_logM31,N_e23_logM33,N_e23_logM35,N_e23_logM37,N_e23_logM39,N_e23_logM41,N_e23_logM43,N_e23_logM45,N_e23_logM47,N_e23_logM49,N_e23_logM51,N_e23_logM53,N_e23_logM55,N_e23_logM57,N_e23_logM59,M_plugged,V_plugged,n_r,NH_r
0,1.0,1.2310519332108044e+56,3041.975814643827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24097.974232256565,0.0
1,1.1220184543019633,5.078551418298797e+55,787.511673472352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21476.595312228783,8.580528153788853e+21
2,1.2589254117941673,7.173644550644204e+55,991.363523072941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19140.28889706987,1.7122272778220762e+22
3,1.4125375446227544,1.0133042259563352e+56,1247.9751551164318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17058.05367639204,2.570213138569227e+22
4,1.5848931924611136,1.4313302632882226e+56,1570.9980475508983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15202.259609809782,3.4243124811360027e+22
5,1.7782794100389228,2.021807735649385e+56,1977.614586989862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13548.281455781114,4.282214060428904e+22
6,1.9952623149688797,2.855879334613479e+56,2489.450646725454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12074.171925533434,5.136218843311448e+22
7,2.23872113856834,4.034036783053784e+56,3133.7238992734674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10760.370471146678,5.994014332051086e+22
8,2.51188643150958,5.69822841245266e+56,3944.688550405752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258.9254117941678,4.449143100839471e+56,9589.443758538393,6.847900087688638e+22
9,2.8183829312644537,8.048961570425502e+56,4965.45271659876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258.9254117941675,4.449143100839472e+56,8545.854297761101,7.705562037048678e+22
10,3.1622776601683795,1.1369460413451761e+57,6250.264679918961,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.2623149688786,8.877207563008787e+56,7615.754290130272,8.559297973384267e+22
11,3.548133892335755,1.6059789696102748e+57,7867.388403448585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6786.801871484784,9.416791840353198e+22
12,3.981071705534973,2.2685055904490803e+57,9902.719989518526,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4421.203071962547,2.2161500813467635e+57,6047.997348235909,1.027033920712168e+23
13,4.466835921509632,3.204349316695931e+57,12464.335282502681,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8812.477882559171,3.1144001705876302e+57,5389.537234740944,1.1127621523416746e+23
14,5.011872336272724,4.526263715919275e+57,15688.207629982462,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10285.151688908594,4.000013063021493e+57,4802.684163908163,1.1980931561768871e+23
15,5.623413251903491,6.393517435599663e+57,19745.39588753821,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15534.60173064052,6.220368885707198e+57,4279.650952059332,1.2837947635496915e+23
16,6.309573444801933,9.031083419984738e+57,24851.078881926718,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12096.593870688142,5.764935229078353e+57,3813.4972663911262,1.3690959000447159e+23
17,7.07945784384138,1.27567443993485e+58,31275.90860396714,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3162.27766016838,1.7712357712628178e+57,3398.0375311126163,1.4547640027278287e+23
18,7.943282347242816,1.8019380411235792e+58,39360.27389087604,8.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37854.365485008515,1.774181787479093e+58,3027.7588471907866,1.5400275551817602e+23
19,8.912509381337456,2.545305136171036e+58,49532.21660191074,10.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37709.08342783608,2.2115396968160912e+58,2697.747841866553,1.6256534989871655e+23
20,10.0,3.5953390673627203e+58,62329.92857406748,18.0,10.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60043.395889731764,2.9250789071114087e+58,2403.625469242196,1.7108697623908417e+23
21,11.220184543019636,5.07855141829881e+58,78429.99248073302,22.0,7.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76754.29356894805,3.8986307112924056e+58,2141.488904200056,1.7964426646114068e+23
22,12.589254117941675,7.173644550644202e+58,98682.81965306203,21.0,9.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97623.93093334635,5.967479279230693e+58,1907.8597535891479,1.8815994365325372e+23
23,14.125375446227547,1.0133042259563375e+59,124157.10182746005,18.0,14.0,7.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123605.07829603055,8.561246691133171e+58,1699.637900360086,1.9671056160891176e+23
24,15.848931924611142,1.4313302632882253e+59,156195.54399362032,28.0,16.0,11.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150848.37155468296,8.496937603210061e+58,1514.0603668510698,2.0521875590297586e+23
25,17.78279410038923,2.0218077356493804e+59,196484.70595226006,40.0,13.0,10.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194361.16149504125,1.315496506941255e+59,1348.6646516689298,2.137609823226869e+23
26,19.952623149688797,2.8558793346134765e+59,247142.47419685964,17.0,8.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,166283.59946796493,2.8517290401026487e+59,1201.2560538478272,2.222597667122639e+23
27,22.3872113856834,4.034036783053789e+59,310827.54369160533,65.0,30.0,12.0,10.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309955.6478515222,1.9659680262558452e+59,1069.8785504357695,2.3079144203183154e+23
28,25.11886431509581,5.698228412452676e+59,390876.34829458874,76.0,30.0,25.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387861.13008673966,2.804447600267644e+59,952.7888412750763,2.392783966818982e+23
29,28.18382931264455,8.04896157042552e+59,491474.1806552601,126.0,61.0,22.0,11.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490463.76375915157,2.7256901319215907e+59,848.4332164177332,2.4779680987016124e+23
