,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,CO21,CO22,CO23,CO24,CO25,CO26,CO27,CO28,CO29,CO30
g000,0.091810466330486,0.5218892337673625,0.6984965702677979,0.3460046946522007,0.05963987537408708,0.008574271668894575,0.0027808262828039132,0.0014723592693159928,0.0009040518350003692,0.0004965132732034921,0.00026755354305600605,0.00014611894195269988,8.171345868867952e-05,4.61824010212183e-05,2.655745737083197e-05,1.561857505952843e-05,9.224597036743837e-06,5.4272826599937835e-06,3.145701172312178e-06,1.7809820605207056e-06,9.792309877998023e-07,5.217485011029664e-07,2.7091131189201095e-07,1.3665996982364986e-07,6.648670523548374e-08,3.148415474422345e-08,1.4466479696737227e-08,6.4658962198738826e-09,2.836417838467061e-09,1.2270974285746846e-09
g025,0.07909218684414518,0.45647378056013305,0.6158808358042424,0.3111730672990463,0.059968300627896556,0.010675449668497988,0.003425844505844401,0.0015524855059764482,0.0008641574975903729,0.00047037821718616876,0.0002603367113708701,0.0001477176146880059,8.620846644385286e-05,5.1109926752789115e-05,3.0951073827858285e-05,1.9230019271696286e-05,1.204489247595242e-05,7.550367570882595e-06,4.686817911401795e-06,2.8583329596799477e-06,1.7072148388240728e-06,9.954271479998906e-07,5.695826548826705e-07,3.193683058020729e-07,1.7470511713486607e-07,9.371025429991526e-08,4.9350420184113805e-08,2.5600667207076456e-08,1.3195602070475988e-08,6.797208801488868e-09
g050,0.06757706640901964,0.39514931561233635,0.5338046370083294,0.27742528735393424,0.05882045154892689,0.012286799880278693,0.004195753794826015,0.0017579683342647332,0.0008514395427741611,0.00043691165020558805,0.00024184207914010176,0.00014055026336898615,8.461728459217205e-05,5.187465216725663e-05,3.2460388167611e-05,2.0805483428935722e-05,1.3433489076069235e-05,8.685831094346215e-06,5.572646550892318e-06,3.524874858973412e-06,2.195059301797726e-06,1.3426915036862543e-06,8.115757959553504e-07,4.84870454067188e-07,2.8582428147281143e-07,1.671371481497627e-07,9.74453786275636e-08,5.69274335336781e-08,3.36656731780032e-08,2.0291248486194006e-08
g075,0.0555796519863216,0.3304483521410493,0.4515103365497548,0.24523906259492695,0.05642954388157304,0.01318678862217982,0.004872952728857439,0.0020390763060609807,0.0008773460204675076,0.0004101032883919407,0.00022092920208586505,0.00013000742323921724,8.037152867005769e-05,5.0766196273316964e-05,3.268357320908851e-05,2.1501208368986897e-05,1.4232436808683922e-05,9.43674104914122e-06,6.220486252312944e-06,4.056498005643217e-06,2.6177593416989885e-06,1.670281863443207e-06,1.0614636276083437e-06,6.733193842746391e-07,4.267754884363778e-07,2.7191953745540867e-07,1.752529293819831e-07,1.1473852609711788e-07,7.676190534399024e-08,5.255647149952002e-08
g100,0.04364256409988978,0.2656687040169357,0.37622342347329407,0.21502516511085928,0.05280377042182256,0.01300682564225742,0.005157173997180796,0.002344816502552367,0.00097794645279049,0.0004114383801881391,0.0002035556787951335,0.00011672960508730166,7.297831569429258e-05,4.726279139379885e-05,3.127379795363686e-05,2.1121909763618674e-05,1.4344222327193428e-05,9.765570683648482e-06,6.627124286729626e-06,4.469735519854237e-06,3.0016861228727224e-06,2.009431310118421e-06,1.3528737322010376e-06,9.19571171242057e-07,6.330239350419656e-07,4.4354174629811906e-07,3.1794198760123686e-07,2.3332351228213128e-07,1.7544728381113846e-07,1.345802935774721e-07
g125,0.034662434182804416,0.21533723234480592,0.3170982374377293,0.1884089203635298,0.04896439327333453,0.012332600127115312,0.005205340737395634,0.0026958535015657085,0.0011919254171897935,0.0004708339823903866,0.00020312656172900387,0.00010580517958583825,6.434398349682927e-05,4.211839134213584e-05,2.8517805524420395e-05,1.9744299851682383e-05,1.3747753379152686e-05,9.606597830198256e-06,6.710414197341332e-06,4.680595875135389e-06,3.270251788224522e-06,2.2942582472608743e-06,1.6314916812877688e-06,1.180419622897134e-06,8.715389513586084e-07,6.581576090524516e-07,5.096610546419629e-07,4.0375464048440744e-07,3.266077268978351e-07,2.6809961041323687e-07
g150,0.028820257762607906,0.1809220664704801,0.27067133475775246,0.1656060383356412,0.045232392124482504,0.011482320043439126,0.0051480572578254565,0.0030444346520908582,0.001478114417697295,0.0005861944017003952,0.00022537676919515682,0.00010043367909188859,5.535945620660136e-05,3.526160711233792e-05,2.4109650662093207e-05,1.7053613068026847e-05,1.2161975351825843e-05,8.710584478022633e-06,6.24481434071232e-06,4.48197865325818e-06,3.232807567756858e-06,2.350145826375252e-06,1.7378030392470287e-06,1.311100310852633e-06,1.0115070260160039e-06,7.984778383825349e-07,6.457577696869145e-07,5.332460359806103e-07,4.483774132308087e-07,3.816002587742922e-07
g175,0.023855829413188052,0.15166425278789972,0.22870789930518484,0.14641329082834384,0.04185717663867264,0.010626242501816638,0.004938457868506713,0.003168125504010996,0.0016301876548423231,0.000658496508676034,0.0002405469534401128,9.46048788321099e-05,4.556032406131349e-05,2.690432586262857e-05,1.8095577749535396e-05,1.2970964069425112e-05,9.46862701687783e-06,6.962675545621248e-06,5.131946403120855e-06,3.791959473723173e-06,2.819429425063434e-06,2.115047771971534e-06,1.6141392851315764e-06,1.2559230898401266e-06,9.978591561033087e-07,8.092039567958449e-07,6.703548207014915e-07,5.653599292322136e-07,4.841296321939276e-07,4.1866861160784595e-07
g200,0.01862151173573441,0.12124670194406935,0.18974747553866905,0.13016293884980804,0.03871668554444942,0.009726990877080306,0.00447698158530698,0.0028944017151103013,0.0014933480540212686,0.0006019880709693714,0.00021705494801910587,8.028697201218565e-05,3.443153624777167e-05,1.8194409370744943e-05,1.1597173116905052e-05,8.284348640599618e-06,6.173746359410573e-06,4.680971882197846e-06,3.5736306768141938e-06,2.7433272582687445e-06,2.1226270612903612e-06,1.6580256576309017e-06,1.3164288280831841e-06,1.0630966615587759e-06,8.738358177865124e-07,7.300417581913998e-07,6.202736062748586e-07,5.342702614967097e-07,4.655231297426469e-07,4.084500684371051e-07
g225,0.014621355727725039,0.09705349077758944,0.15971310895767074,0.11645527698253236,0.03567540181310676,0.008718834007141052,0.003773937835745838,0.0022644463823221763,0.001128180288613331,0.0004517071609677024,0.0001653137203000607,6.043060520117795e-05,2.410827582971219e-05,1.1370320886232336e-05,6.652437989597414e-06,4.630191757546111e-06,3.4963094398214245e-06,2.7373699870373646e-06,2.1773122560491333e-06,1.74995600714609e-06,1.4200420306765463e-06,1.1631438510189315e-06,9.661195860088418e-07,8.12876649458936e-07,6.927977692825783e-07,5.968826063958662e-07,5.201774549999234e-07,4.5742894830401895e-07,4.052863971307027e-07,3.6050197228993725e-07
