,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,CO21,CO22,CO23,CO24,CO25,CO26,CO27,CO28,CO29,CO30
x-100,0.3191717787304176,3.7596201325862943,12.013946645327453,22.317017866744486,29.93151134363813,31.583676331749615,27.249955837544366,19.671323637824536,11.837555637320635,5.91930196161142,2.4608027151728717,0.8546549514889931,0.24503532505265976,0.054612098785693085,0.008873784452162845,0.00125237383181009,0.00016674583670277034,2.016484109111091e-05,2.3046856678505684e-06,2.368061175102155e-07,2.5296204693800646e-08,5.76742554614327e-09,3.7552204216237076e-09,3.2464385433079576e-09,2.8845211085840302e-09,2.5651640890234637e-09,2.285048627181295e-09,2.027941565368054e-09,1.7997719438537462e-09,1.5969230770393427e-09
x-075,0.24118735620156181,3.1605482920040435,10.693331036145693,21.099126809694436,30.44620217406688,35.095281109146285,33.60364609473436,27.166075920214347,18.7025457543251,11.029724853368473,5.645676477893582,2.5664449959074243,1.019582501508428,0.344092942761575,0.09509965819177886,0.02117900401439836,0.0037010106323565545,0.0006095670547614214,9.932058166597076e-05,1.4806148164074497e-05,2.02484198405846e-06,2.562566266082569e-07,3.051772461708829e-08,4.203111339224842e-09,1.266368162726306e-09,8.918206899266804e-10,7.884102888785973e-10,7.142971067604955e-10,6.496570532796877e-10,5.916874364960547e-10
x-050,0.1686193005268376,2.411774279142738,8.676517546169208,18.14255526351106,28.04931337602378,35.287393333721695,37.45177023470661,34.03091654375828,26.780535200180775,18.251995156752788,11.06449829836686,6.1314887726232925,3.1244032142810987,1.4117558127460907,0.5656481726534445,0.20348648887998877,0.061202046732835726,0.01471098759647902,0.0029626473933560844,0.0005866046700438245,0.00011274114108410207,2.0698395005178835e-05,3.5251114765757796e-06,5.725860190384092e-07,8.769861743099883e-08,1.2426787154957823e-08,1.8087137245079034e-09,4.033546421437971e-10,2.211014643383121e-10,1.872494979944743e-10
x-025,0.11313671149675805,1.726415931077859,6.6123153817432065,14.642476715598109,24.029195831729236,32.443109980629984,37.85513195871427,38.75488571833442,34.74884450351019,27.35506765415907,19.36517984811069,12.681801634245842,7.783123657523666,4.374724463710854,2.289710383256292,1.1236554694396432,0.49774152081036327,0.19363183132190287,0.06434572769674068,0.017577339535741,0.004005115013525943,0.0009264840893987065,0.00021539625713774807,4.877019481829921e-05,1.0518220062102336e-05,2.1068061492128603e-06,3.950325419712019e-07,6.994224686550481e-08,1.206988152904064e-08,2.0981731254702486e-09
x000,0.07506273357014982,1.1999892306190874,4.8667353919496685,11.403296143146632,19.84010064245709,28.601883010851793,35.8482116498496,39.78955990922801,39.8539621436137,36.151871390447525,29.77199808193086,22.588907549025116,16.142534075279087,10.785307771066892,6.789345805443444,4.102271651815386,2.3246448583497314,1.2068120448363475,0.5683580215158189,0.23510040081598782,0.08308811191152207,0.024703747439196864,0.00638689214465798,0.0017412294799977275,0.0004814985346829463,0.0001266155538431213,3.1876268648956675e-05,7.704209062272764e-06,1.8030778904763557e-06,4.1518344644267085e-07
x025,0.04883350892738173,0.81203826126922,3.469386617428981,8.573024717077189,15.712089268655806,23.84551242068258,31.71907939337571,38.14759275974358,42.088772281239244,42.30462025125826,39.03356776719151,33.66408350131868,27.47997964354016,21.087080177312693,15.298299132755382,10.662649993846443,7.175034239759018,4.59282434833969,2.7672574902794373,1.537428066485735,0.7684403801953025,0.34224212841127216,0.13566086574458577,0.04636144610075127,0.013863348837564673,0.0042901505831922935,0.0013681275905255055,0.00042694696300274486,0.00013157626261375282,3.9770710174402386e-05
x050,0.03087952357916345,0.5466080867050738,2.442842284937109,6.3311421077116306,12.1898570606384,19.48472933487492,27.366901848875024,34.705706151337665,40.24436247284618,43.08538955528138,43.6111228967333,42.18090380211847,38.69188363203443,33.36455095187286,27.222554894018856,21.30096306780889,16.08036823348182,11.788460773326914,8.388005294437576,5.703473919174487,3.658448873878607,2.2048655345061707,1.222073782299227,0.6143663692187029,0.277596845882616,0.1101161805149085,0.03803130314987686,0.013149135950779272,0.004846077581937758,0.001808895062555678
x075,0.018001225418492098,0.32803931449680906,1.533483666847288,4.17164159166963,8.421379852908649,14.071528223223838,20.628190209363993,27.496257996839518,34.18196878284024,40.20498670932455,45.12936608229991,48.02968811285148,48.15306163260524,45.630136233965665,41.305260910838726,36.057442233293116,30.239069737779765,24.566531551888854,19.467966956388047,14.988665486077668,11.181957909799008,8.01080118361902,5.504407959912029,3.616177142465614,2.2171604909001283,1.2438790699138411,0.6379689597604822,0.2950269044590715,0.12030290083203253,0.04655133901705755
x100,0.010295665720874831,0.20718712492748154,1.0196759748973647,2.8895095961116977,6.103489338576595,10.704154338465061,16.519689974074435,23.234478411858486,30.42974440639138,37.479669254481124,43.901766552233845,49.177415887971264,52.98216571022778,55.33988761082589,56.138096917475345,55.31767497331828,52.389662883277126,47.97114820030085,42.79689174657933,37.480393749998015,32.13150228868368,26.80159030925789,21.747688127212335,17.049611054391328,12.84505327682135,9.323978503183243,6.5028104073725315,4.276490665260445,2.623135720280561,1.463684149603907
x125,0.004861723864089154,0.111148943556534,0.5863481562108107,1.7506380879870065,3.884605713164778,7.152515871424343,11.576631816883932,17.069890003619783,23.471984193613444,30.571858444843333,38.230976491126846,46.187668718765224,53.93314072173201,60.819206308151905,66.189385783911,70.2421534479032,72.4553920456776,73.42794633311577,73.44913692760966,72.85680977216694,71.34166399943517,68.22773668031562,63.67666847862199,57.99438497191855,51.539624452327004,44.37896726950093,36.81841787859527,29.387260208007156,22.519558094721244,16.60782583284426
