,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,C609,C370,HCO+4,H2S1,H2S2,H2S3,H2
g000,2.225797199505845,13.025835042136658,18.825829117492525,11.23519605134526,2.7928928568269344,0.6171147989422523,0.2093362948682099,0.1179920337556747,0.0835776804466377,0.0568305280713849,0.0385932911434348,0.0262836770138366,0.0178475629826279,100.8177047731348,92.05655115876544,0.0133728302872335,1.704663568237135,1.4650388398078489,3.5552167463035493,2.957985835812404
g025,1.9539115301290115,11.669915576431729,17.287394562772363,10.748560183830518,3.1021775040415487,0.9026768461859868,0.3312938475640246,0.1487365178585367,0.0866934887535047,0.0573875347836794,0.0401893495793535,0.0286252263533865,0.0204475881398025,109.45123409219131,111.23456787820606,0.0130063445955991,1.8379663560525543,1.8070006627770512,3.906213609936717,3.5876073891735825
g050,1.7256771184424964,10.469749078947704,15.728140349321311,10.16812502797705,3.322424564768394,1.210334413617185,0.5446548391137545,0.2418872223345222,0.1060095337834745,0.0584571883465902,0.0392998783199286,0.0283804889150546,0.0208207903786632,115.9983773572727,129.27773328246653,0.0127713594104407,2.1258380352941275,2.4454983124657383,4.5367025450308605,4.921389999637224
g075,1.4940666475330058,9.217898588331016,14.091928850855282,9.52631556968693,3.456954772110892,1.485017113227345,0.7784163172173005,0.3667476682750372,0.1389826678220983,0.0625905690595094,0.0383339952131206,0.0274469629360875,0.0204688892691675,120.35651688282915,145.6213467403124,0.0126399198838265,2.797884802046188,3.617992458842679,5.751561179554014,7.346599048184061
g100,1.2601715746685698,7.928843676199769,12.48417868423554,8.812976731812705,3.457788445063594,1.6621651174288754,1.016089805758212,0.5629422581411431,0.2172347352137269,0.0812003880897623,0.0398981582232279,0.0260389288176497,0.0192112663183785,122.4813330344482,159.59577262081265,0.0128084980399647,4.298127769097339,5.669027218362592,8.200529941749794,11.861084236459648
g125,1.0727213808575211,6.858173156512347,11.078085363781968,8.087828993649024,3.344504271528556,1.6970951617610937,1.1369758918603925,0.720425485731022,0.3122150199676542,0.1152375536604676,0.0472007097346857,0.0257536797841622,0.0176851760205301,122.20696801798756,170.8330776156321,0.0133105547895817,7.304051251009338,8.97319814022091,13.043843159574614,20.80600209065244
g150,0.9234911646975248,5.978613743783979,9.828348032077988,7.408834917409081,3.212128758316651,1.7115752993455535,1.2465460471923246,0.8947082737565525,0.4427435764621734,0.175353122508284,0.0660689527629856,0.0291640124395848,0.0168767488661839,119.59347081596825,179.08060409255356,0.0140904611664082,12.45179350374032,13.7395537781423,21.77319580984713,37.32745475237616
g175,0.7880904939410927,5.169142220485775,8.662737241620597,6.753684243644206,3.015012168619396,1.613100931278586,1.2042478821642584,0.9407928418446496,0.5285885030179734,0.2349601250272501,0.0920212169204055,0.0367502410653808,0.0174565691963479,114.62686390758672,183.9814803443844,0.0153129118752828,19.681746552794117,19.822341210081177,35.30690688009586,63.42778974436923
g200,0.6696413324808862,4.445494879865634,7.636774615841177,6.150646779373296,2.814282793177409,1.4886748992045804,1.1068784820245037,0.9141656130908536,0.5615864278793,0.2753587157071657,0.1166978756058366,0.0467210973536513,0.0196731441712934,108.36607809378158,186.1488929097941,0.0169633113950379,27.928502056898715,26.487953170647703,52.50533870065803,97.83234702391556
g225,0.5779375640261829,3.868345833783707,6.782147766179555,5.602186754449331,2.6159101884169065,1.3441212356332843,0.958701901248723,0.7986814906514549,0.520907941732931,0.2749146430456473,0.1253844827248857,0.0523838942840263,0.0215146148239274,102.14672672187577,187.08252069743156,0.019026361595503,35.71769778705681,32.594278354907765,70.35659704974505,136.81321219608566
g250,0.5059907436128628,3.4040710084056487,6.049413421789837,5.109631204102898,2.433405626170706,1.2023405700495005,0.8027650416679013,0.649304833542902,0.4452613365209865,0.2441712210359907,0.1154709272808686,0.0497353949581206,0.0206857074293219,96.2836677565798,187.561427897732,0.021510242640677,41.75722300909976,36.96577654137799,85.17954561323843,174.49464619665417
g275,0.4434691676176485,3.000863512913935,5.398586474067472,4.686196808639302,2.2907401803830645,1.0974299046714997,0.6833129322101338,0.5160933504379809,0.3661875370400159,0.2014303813171062,0.0954450041500175,0.041480907789372,0.0175249764013751,90.21523990725257,187.04561649424025,0.0244068830132463,45.39469572643239,39.117459836263365,94.57290292812554,204.96422218612756
g300,0.3869585216041232,2.6345719339610048,4.825100488173162,4.332072170495439,2.189029493791752,1.0251846895603485,0.5892458381268612,0.3933693398465396,0.2772302036489111,0.1519425996415047,0.0723766263993342,0.0321588996759269,0.0141310913767372,83.97924706343186,185.41670697310897,0.0278499256792629,47.05901403112812,39.25117027143767,98.2050181605766,222.91849961626332
g325,0.3395580414790829,2.3275531392684496,4.348408833483967,4.044217859557519,2.123338569842584,0.9813572815526408,0.5281812655809818,0.3084888593438001,0.2061846935379698,0.1154636303020458,0.0557323742479168,0.025444139106164,0.0117279546532339,77.96887791662252,183.2783945620176,0.0316395052340584,47.44714005456967,38.05448049031518,97.27691548201156,227.2565780158733
