,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,C609,C370,HCO+4,H2S1,H2S2,H2S3,H2
x-100,5.685217504921858,65.289917767625,212.79499449522407,412.0535606013266,586.2564794771749,668.4837925788654,639.5247847070393,528.6509254304208,379.2972424207417,235.4935003518272,125.02115951573076,56.97535518315124,22.12589577581214,408.79376981229314,1601.9046571025694,0.9777304086492158,1024.376547261259,879.8338812148173,2799.8659745363093,1724.8379376791272
x-075,4.676287896155833,58.95546084959913,202.1736808086127,412.6063063527914,624.669649184832,768.1281831879022,802.3456226681551,729.1313904920261,585.1257532235746,418.1704922203552,266.5893500371802,153.44717198495374,79.20626229093743,435.54521964083096,1821.9534481003047,1.0362770219153905,1176.9113111669442,1198.3175759856108,3978.0847222330726,2494.613997384701
x-050,3.603476475685513,48.91938239381757,177.03092657809458,380.6619809030803,613.4861517549422,815.2301270320904,930.7645295712036,932.265003143882,833.4304219641542,669.6950732696923,492.2411872401496,335.15464546474163,212.6642085878527,457.87534732889793,2036.1921416088132,1.106837433702973,1176.5176674208751,1516.842053604806,5128.001320746001,3366.573096387759
x-025,2.716376139164515,38.83449720338373,148.23853867050406,335.6761844046132,571.7899270143063,810.7424993335158,1005.1227989719872,1110.6132958497387,1102.8738470794913,992.6040004034824,826.3101040262326,644.485248764148,474.933322236321,478.1322746512752,2253.281738920024,1.2166669721082737,1071.7187308757573,1804.421702971732,5953.686542093506,4234.042928285697
x000,2.0483482691830446,30.438897299941424,121.85194999344506,289.8664399623418,520.2453395680263,781.7804825572101,1032.4794488833334,1225.6290576540728,1334.6477199778542,1340.689716508612,1252.2770669802424,1096.6010770112464,909.8023809896674,492.8226780099967,2460.6644861916234,1.398427391292458,973.4919818953756,1998.218759641784,6143.243705322336,4976.892888842208
x025,1.5447974513700882,23.73527267984027,99.0646380441816,246.43826816298443,462.9497827825059,728.9324171999039,1015.6136779065556,1289.419500972307,1516.0531611405495,1651.4152572863386,1685.9389670625014,1627.4218846410722,1490.6182278558615,505.1990309681756,2675.7667756373903,1.661329156957484,1056.7523485849704,2024.9706229925653,5688.923092154139,5618.556782166494
x050,1.1556225269064453,18.72669685452261,81.08445270342771,209.7142144480304,410.4851168535291,675.0244981555073,984.003167527996,1307.008647602053,1607.5487645819958,1850.934416801738,2029.501204706049,2124.6942107610985,2113.7741426400485,512.4115103043661,2889.667561307827,1.981171317258285,1444.2888155167234,1950.263943604503,4747.093429863822,6168.799496897872
x075,0.8296333103992413,14.144678933422863,63.58334134716213,170.69962379606733,347.0543379123606,592.5929131306665,897.0462796664466,1243.208389037618,1611.5080295065968,1975.61897264874,2310.5046772174014,2573.611017429585,2728.5366871255874,513.4370026257833,3103.456597141805,2.308672758636025,2176.3277969242413,1932.550865187661,3777.741456595885,6733.525647951075
x100,0.5545409380023569,10.589943229542444,50.65039952747036,141.88280050578055,300.0835806763521,532.3232048433664,836.8983537913206,1204.519091168374,1619.7069721212813,2057.0590513039706,2496.9112751414004,2916.089132733228,3294.5728830314683,504.2120703273443,3296.463337210346,2.7189250767356947,3175.138661368684,2427.4742225560726,4045.7709757669713,7380.173410587888
x125,0.3164817890009093,6.959637174284487,35.9268252568617,106.09067152682734,234.73761595578569,434.2187826891944,710.6152744912605,1064.383250467571,1491.548853679206,1983.854358107615,2535.689201505059,3133.93179487158,3751.3064892004736,477.4656373449458,3397.0510732793914,3.201930440661348,3498.670106747633,3234.0897001451344,7160.162016948366,7682.996169681363
x150,0.1521165892683486,3.715080268253895,21.001048816235173,66.41805147469665,155.292357743582,300.6607987754158,512.9976560596915,797.1562187582717,1154.6429564584537,1583.7032542048892,2082.1401852267863,2644.7175155629043,3259.709436289601,433.3522739338418,3320.505391855978,2.78628640257755,2620.807139942124,2955.5116434048923,8741.484088031251,10283.118770641871
x175,0.0750790795927726,1.8911862022696728,11.146061144122184,36.68123052326038,88.78039716446118,177.6099532889908,312.68615832108696,501.2742401731604,748.6947238901672,1056.526607467535,1426.2194849205052,1856.6763231271184,2340.165524593016,381.5347515696207,3072.4557347789105,1.938177336882759,1575.9508660452098,2175.530847789257,7586.403372653392,15328.08729002677
x200,0.0431206514591339,1.1038704041058764,6.634383979398002,22.2876430243575,55.00463599854569,112.00968168766688,200.58792766593933,326.69982927230075,496.0358675526665,711.4117305424352,975.7710703716424,1288.7303840852408,1648.215531306858,327.4730840807585,2711.5289624012435,1.2396298775258847,804.9873491998941,1323.549218580202,5119.390915447025,14602.590925765744
x225,0.0252162164543659,0.6575993807166359,4.02743250917581,13.742979784124136,34.35575388604957,70.81791127012775,128.11100985288854,210.75732462376655,322.82403488341714,467.5601232646285,647.3178566115553,863.2193838272607,1114.3315630198522,277.4895003463174,2333.400246890425,0.7350749075445412,365.8051359145802,683.0085096841776,2932.326525934142,11389.69330263375
x250,0.0138088231105473,0.365878268027014,2.2748380564142865,7.846132878826781,19.766083556039536,41.02233817559765,74.68850408590754,123.7244149943394,190.8526457865816,278.50351922525016,388.56615579135104,522.2685730658634,679.6122371951392,228.15059688907192,1936.6672396600527,0.3942827997756535,151.33671962832824,304.1400132102044,1436.304825926206,8008.984201969821
x275,0.0068516210487296,0.1842748690479783,1.1662649783397057,4.08475144087019,10.43101629824162,21.925022754635577,40.41188183241427,67.75055812899981,105.7337325143866,156.04308179448802,220.0961580339641,298.92692692551066,392.8760873525086,179.9811937189829,1537.8667172608048,0.1860017653417179,57.4672241841905,119.56827536905584,605.4430126309178,4714.36402147324
x300,0.0031409735008569,0.0859691270678003,0.560248907163407,2.01736591923551,5.278120068696098,11.326914799057368,21.249204412709013,36.16120641144029,57.16491351098141,85.31732937571657,121.56453209158552,166.6564576390073,220.97777695023015,136.7728582599424,1173.8506821693445,0.079739329124567,19.983909404084795,42.79978101191782,221.348074552155,2289.7178680654874
x325,0.0011805048653197,0.0327381363301526,0.219651686413313,0.8129992263884739,2.176323075546016,4.757406965240116,9.059079608680644,15.606648249877685,24.93039704234027,37.54828018721874,53.94748789674841,74.54235474739296,99.6065246267754,101.09920510648332,869.3759112138534,0.0298167457590655,6.352181306235123,14.24943210339288,70.21060577795757,923.778692964601
x350,0.000301404674715,0.0084487682844433,0.0583738805167054,0.2224182350234984,0.6103538723852289,1.3623429009860577,2.641312340375424,4.623897766620424,7.495987850350135,11.44619865660527,16.662287044089073,23.313600506112632,31.53877068503866,73.5154051693905,631.4896659201942,0.0093449808363195,1.8713339583521449,4.3586409908161245,19.050905687238203,300.2693484117624
x375,1.1043645917282826e-05,0.0003098861101854,0.0022541212266643,0.0092453759188107,0.0275749151708349,0.0670691679718221,0.1415577968202523,0.2688707572723273,0.4707458123525943,0.7722500594001048,1.2019009307403803,1.7881831014507006,2.5617833797233875,52.93361623622484,452.9118598743897,0.0010131971035124,0.4098277848797459,0.9843883339238866,3.517672744617963,64.73308601508792
x400,2.0787994886813666e-06,5.653146225650397e-05,0.0004036731468366,0.0016400175898003,0.0048676930648656,0.0118145711722036,0.0249314100991729,0.0474138498088906,0.0832176824045779,0.1369974554606409,0.2141644766051335,0.320327282489923,0.4617720439964471,37.8898126994517,321.6717245527993,0.0003471366718376,0.0386430559063777,0.1009075831459698,0.3290711206680429,7.391294617045987
