,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
x-100,2.384350492633096,31.041561157418556,114.4260659659932,254.54309817972248,423.1829341113008,570.7210071307495,644.1559094902949,604.6209575132834,459.04749071072024,459.04749071072024,283.28413531139984,144.56959820502044,60.878273413380086,20.72916758674696,5.6750126591182335,1.206980190780899,0.2220921068604405,0.0368642122260604,0.0055189034346178,0.0007536487638073,5.189574384935359,108.70150874266568,484.61140912792285,946.5831686851088,467.38459527329775,390.4015006915724,1297.7807465786495
x-075,2.3792074369213214,32.11547300705632,121.33333099580555,275.25316607346616,466.47849685776305,642.5830192830333,745.767118663149,731.1337345878395,597.9101369267128,597.9101369267128,411.9973413697756,247.5199469815711,133.89957816619776,63.69345625807456,26.132648837909606,9.159100207774268,2.714500209882267,0.6548646325203187,0.1378005884185669,0.0269124243201902,5.83674337138566,122.28077732357612,569.5875684181144,1508.5307364449482,661.5866152968756,610.1016893691955,2101.088631029237
x-050,2.1735138177987188,30.6166360307178,119.50739374937902,278.2807626762403,483.91682005898053,686.9523051124426,825.9251113005005,849.141673000589,754.7941926065754,754.7941926065754,584.9238989066346,404.7970524196556,260.50314605201777,156.85480648416413,85.51686380743345,42.38955310836449,20.1122273169758,9.80299123874765,5.655043848871329,4.192094859021914,6.232865772636987,134.93796460505857,655.4830972962446,2253.763550204349,824.2040387316015,896.9458473397531,3136.7966664807327
x-025,1.7737363796094023,25.947838186964308,104.31179494831936,250.4459096896247,450.1698777062543,664.0446708474651,840.9519462473145,934.679634908656,919.8290203807552,919.8290203807552,804.8009996535288,639.2116724976503,472.6699266276178,333.04706431208035,219.66914193218943,135.67122538867207,78.69500285228867,42.30026401262411,21.725895136119313,12.121840821062536,5.912724861519205,146.83362073305474,744.5721239651631,3039.9851643127768,859.458720600564,1231.455505544827,4099.7113129225645
x000,1.3759051867904684,20.992656502705383,87.0420649325691,215.8002740212544,402.2378673703362,620.8694212516789,833.0542344336786,994.1887679858306,1072.674452249702,1072.674452249702,1057.8354059585358,960.2384874439196,810.9825176410219,649.5303089075547,494.1185552868795,360.5021480106914,253.86107869641452,170.74724752581966,109.87167402022948,69.84474519488154,5.444849437747966,157.5024423125417,834.9041301591409,3699.368102771553,826.6629754178814,1542.6754253113286,4581.181853346986
x025,1.0540781967325548,16.80369412348445,71.69212085167086,183.0623977549784,353.3451566326284,569.2295630974603,805.2076573221677,1027.418012703277,1200.413794518695,1200.413794518695,1294.41220993171,1304.343964377542,1237.337016555546,1106.7656050732155,937.7703712773642,762.0454630725038,600.2459157801361,457.9523730275753,335.5496481265504,237.98224642554555,4.955606231469975,166.58174024642517,923.9947900182948,4131.648697432031,893.3564039948405,1768.15558168936,4362.444954212008
x050,0.7774635078881891,12.982604054720722,57.214688454772464,150.800556537107,301.2076520554616,504.15875376595113,745.1337897742899,1002.6227376729952,1251.130271484611,1251.130271484611,1461.711201416669,1610.3427617615628,1671.2914080249047,1638.320982778693,1525.209347847661,1360.409706609738,1168.194276448651,973.7874704545304,786.1831025774712,617.7521413363113,4.43752462661577,174.79104216207304,1016.2115964120628,4352.794822252691,1198.5437007637313,1869.490440245874,3607.397968069979
x075,0.5644086469311839,10.192993709383003,46.94909875239824,127.84052568959554,263.80066612678326,456.99947437843394,700.6366773392909,980.2472879834824,1275.043948324637,1275.043948324637,1558.6834490089454,1812.62499949766,2017.067707845472,2151.509044181522,2193.403870731636,2136.086052980939,1998.616664038478,1806.0752646402184,1581.161850003657,1344.4961083861144,3.970512548319022,182.00517843304792,1114.2095504228105,4502.175365407296,1786.044873414616,1930.1083336503864,2748.760192760391
x100,0.3749496160782659,7.494386783833868,36.40880179617248,103.02084744547513,220.23472063774693,395.28253178636857,628.9123109546327,916.5490768480807,1248.7418094573484,1248.7418094573484,1610.8289971160254,1987.348532103283,2352.9215761917976,2672.104913214902,2915.313287945945,3065.357833980483,3144.395057124953,3137.0940532132367,3039.9116808566705,2844.8152686698795,3.5543684212626014,186.74264648171223,1214.3259703133335,4774.487590356251,2571.6023146613006,2330.924792125035,2753.622655890292
x125,0.2038212289839445,4.7118161725556345,25.177098927454548,76.10633207816089,171.32202553129596,321.10124597421867,531.7170469742194,804.2584924407197,1135.7899402471564,1135.7899402471564,1520.5310477924631,1955.424899238055,2433.184962688462,2938.5553560091653,3442.045612891753,3927.623309445256,4395.919072164898,4795.825280822146,5107.787493915475,5300.791049432328,3.43842518952326,187.32761362038937,1306.1962658644488,4797.607502043021,2892.2302844006795,3026.666509235833,5686.706787253693
