,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
g000,6.5260939527456925,89.24227490148515,330.53497237947727,711.0360666696189,1107.123156426776,1361.1365595611585,1335.76759274304,943.6696326842476,403.0773130361799,403.0773130361799,92.68999537629756,7.936718396792981,0.2173571791784178,0.0475112622238576,0.0274430962840796,0.0174082441544522,0.0110533181195321,0.0069080221237761,0.0042392064990213,0.0025457594938262,28.30423776306884,545.3013329459757,1726.7639354786463,6.783657621043286,4.530996612139565,4.487339800267402,8.073973555893865
g025,5.2762026984818595,71.8377098016035,265.2703950557871,571.2625554215857,892.2484709160206,1104.4146068999162,1095.1336590121828,784.0677520622198,338.8174999196554,338.8174999196554,77.88459615335054,6.443793924784036,0.1956348803135404,0.0518584892044336,0.0320654142069866,0.0217276881417621,0.0148511488689573,0.0100884243365546,0.0068013465884996,0.0045338363912763,24.195986585772346,512.8064423447971,1628.372130040381,10.640831991453188,5.69763063386886,6.549450646824814,10.266396844355803
g050,4.282988403910738,58.45340707232745,216.68222419411967,468.44857130545887,735.143619174073,913.4351575224358,909.0488662122792,655.8646974499616,286.1698479119351,286.1698479119351,65.75881171054112,5.283438596902404,0.1779695815341106,0.0523294203055632,0.0332842360426366,0.023256872228033,0.0164302202240308,0.011568108623894,0.0081138286882964,0.0056529298060405,20.761522986835757,470.9137973882352,1498.8462017637364,18.23621650424508,8.321398690840061,10.268878118736454,14.297867735332462
g075,3.4878352335840663,47.33508253266576,176.42077846387048,383.2635252949106,602.7702934118785,749.3172847483573,749.032952921801,546.6929588105353,241.57666617286657,241.57666617286657,55.551568503290696,4.34823419512201,0.1641131646465091,0.050936460456511,0.032651389053268,0.023258399740108,0.0167909383692754,0.0120826442390153,0.0086637580314842,0.0061743261032707,17.88954743093531,421.55336975897166,1347.7541718116968,32.03890761364389,13.895197199842814,16.70032163989987,21.9598293281668
g100,2.877520675825034,38.45850664908637,143.1925940255019,311.96061605062914,492.4196568486352,615.5062323624702,621.5513716809555,460.015979795726,205.8520825407409,205.8520825407409,47.39691932005323,3.6424884334777694,0.1559763846258595,0.0489012103709507,0.0308540991610633,0.0222406157506377,0.0163788541344524,0.0120388170453493,0.0088189174072395,0.006421822454896,15.490488927549093,372.7435111610167,1201.649009773923,57.84671016813755,24.658627705122814,27.079668169614457,36.335682080632026
g125,2.4118407119059277,31.977909730587587,118.67318627078429,259.09027329383764,411.0833626212379,517.4512351398484,526.3071315543727,392.97726778238894,177.4730313478734,177.4730313478734,40.94223364830387,3.137372556006492,0.1581802730344685,0.048396418473771,0.0288129190210872,0.0206387607511044,0.0154186958885784,0.0115539823769979,0.0086385412859217,0.0064242161011191,13.491069236542224,329.42268178619554,1073.2174192185255,104.64939215869668,43.02663041286499,42.29986245732107,61.401363345532424
g150,2.0292739544722047,26.93453785833442,100.34515883617134,220.03741599541524,350.54252821641063,441.6601379830698,448.92795324113024,336.5970767433094,153.2817102772887,153.2817102772887,35.46382233168611,2.7423318419890905,0.1680495058592336,0.04991141958686,0.0266931782463436,0.0183476790503185,0.0137400637783453,0.0104708033925679,0.0079919314258189,0.0060733373024288,11.816393464311652,290.83708958382675,957.4377127785046,180.4729605426066,69.89499262751126,62.25409911542713,100.335530363853
g175,1.7020346152107788,22.43712437706508,83.84837384796283,184.5727293084583,294.66831929231626,371.6253263438392,378.96330233306475,286.87315981635635,132.1716603896847,132.1716603896847,30.70941143194653,2.4167777798552965,0.1838215291305562,0.0541474969179827,0.0250999537036769,0.0155954685641361,0.0113467794039222,0.0087057449660244,0.0067749241789212,0.0052689801473571,10.389498031760676,256.8766035003295,855.3095105859028,286.7244578265209,102.38514778225104,85.15244945031623,152.26433353944762
g200,1.4417117046823675,18.758943658737316,70.0867343354691,154.7599418990679,248.0229363794578,314.0065576442335,322.2226125826512,246.39674227972424,114.75531474576351,114.75531474576351,26.742219559512336,2.138104530728119,0.1986070430197063,0.0598015341087702,0.0243605323709637,0.0128389369299609,0.0085094484966294,0.0063737668876959,0.005016747306611,0.0040023126048458,9.156002964562964,227.6977026757085,767.964482258756,415.42983574454433,134.7077935902897,107.61488335155931,210.19030180734995
g225,1.2394994688488046,15.931311628699648,59.4000317289067,131.46661364453735,211.54661516158097,269.19634058496234,277.67319392473206,213.87833017373003,100.45765126660208,100.45765126660208,23.46582388391282,1.8988042015048257,0.1989345709127463,0.0618081769288929,0.0235500245648288,0.0106235432498744,0.0060655152751693,0.0042229142786627,0.003300481945425,0.0027052028081461,8.085523280096137,203.01784162760947,693.9694562097659,551.068547254522,161.00166292197832,125.66875468561132,263.21919112170343
g250,1.0741223033136944,13.759923763138376,51.28750799347438,113.82358631501155,183.9345352462331,234.6607129839044,242.0370062596413,186.9323735051132,88.37765784893297,88.37765784893297,20.67279474715845,1.6700813735381372,0.1819482351542265,0.057193527949432,0.021522205705784,0.009122423677908,0.0047365150623439,0.0030779416074468,0.0023673188556951,0.001980318389285,7.157053465656358,182.4851094177569,632.0011699266115,673.9150007081793,177.54129094195355,136.39380852047927,301.5635436592596
g275,0.9269336265413124,11.83803298172666,44.21971886466202,98.4408929404678,159.4747147350016,203.47749011717187,209.6791693611631,162.72700312558968,77.60461779550954,77.60461779550954,18.187540754645653,1.4531426957103726,0.1539086364485639,0.0474056271489714,0.0180392640730345,0.0078088936472066,0.0041065269660453,0.0026695282455633,0.0020472590041465,0.0017141653425291,6.34875116638783,165.0940848082266,579.3338218843144,763.0590764100931,183.44859024450497,139.00536590638686,320.31639393844927
g300,0.799486205494086,10.113009981947323,37.79311381474878,84.37323726352159,137.05957848782475,175.1321080951054,181.02966534680863,141.70232596005627,68.30526689569075,68.30526689569075,16.039903149709765,1.2548756006099429,0.1249526163263068,0.0374803894570299,0.0148422303418009,0.006871350662356,0.0038086632049545,0.002505123478111,0.0018788975949217,0.0015199139511074,5.643345875920416,150.26092101032378,534.5968139820847,804.9920281714534,181.76686902518483,135.05130765012848,320.84604009905945
